gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
Cables2,0.21270320538053963,-0.020573808842204677,0.19212939653833494,9.87003134961633,0.20019260284098267,0.1967713693083082,0.021940933170498514,1.4740917643740987,5
Cabp1,0.23136532240652044,0.0815700336087378,0.31293535601525824,12.495323022852839,0.3368865365798885,0.21772446560639597,0.25535182301208675,1.0280824488452154,8
Cabp7,0.6029848784560353,-0.3315268149719613,0.271458063484074,10.911946813887463,0.13075900365706217,0.18978355471738995,0.2351358186730291,0.537770816221711,3
Cabyr,-0.1335062036740604,-0.0919409480594718,-0.22544715173353222,10.701278717703977,0.06769386010215397,0.11158715623181487,0.09945626304013755,0.4446136877274406,3
Cacfd1,0.2874192747982069,0.05428230521400507,0.34170158001221196,11.143351810271344,0.16515720176702178,0.11263906693456646,0.2510108107114182,0.9012277145469874,4
Cachd1,-0.13686721149344297,-0.1668113516807949,-0.30367856317423786,14.293801811255042,0.2863653119377119,0.35859415061538613,0.42412178470661627,2.6699045790947147,12
Cacna1a,0.15809174985614793,0.079350399841514,0.23744214969766195,15.767713089371282,0.3126318719531337,0.2546737972395678,0.33501191304985456,1.2346257214202874,47
Cacna1b,0.023656999500732627,0.08202303283895096,0.10568003233968361,14.37307831458514,0.2657499653858036,0.2759834106132891,0.38033875066232514,1.7384489095601248,17
Cacna1c,0.07708854721689438,0.013559970226248021,0.09064851744314241,16.996451685712994,0.2501710227714676,0.2754715511873659,0.3200053561509405,1.2683073314388031,87
Cacna1d,0.2112215902771294,0.020989224806610432,0.23221081508373984,16.288521866043496,0.2535681163999041,0.35140788769001685,0.3435705277751245,1.3491339143941437,50
Cacna1e,0.06509669669053518,0.009572415962863942,0.07466911265339912,16.509987545009736,0.27416541251213267,0.21896668368931374,0.2537142130063265,1.5207328220006118,70
Cacna1f,-0.031153107781542122,0.7538950001515572,0.7227418923700151,12.93792548486305,,,,,1
Cacna1g,0.3117079969532442,0.028259934821203998,0.33996793177444823,13.532760280691383,0.18667626433238396,0.28178969648634244,0.20871935900851785,1.046077146048253,12
Cacna1h,0.4578449847328161,0.026188386705289873,0.484033371438106,13.308336235300471,0.3221745977701401,0.280702926562427,0.20780840905132336,1.457858145527707,12
Cacna1i,0.30858804667259815,-0.10892062550920502,0.19966742116339306,14.041771901691586,0.305316743695628,0.3199684571413527,0.3804220648345703,1.799531092116804,15
Cacna1s,0.09056777238352505,-0.08399506999564305,0.006572702387882018,12.718203490153583,0.273180105245239,0.24949621637315722,0.31127069285764064,2.266154938027472,12
Cacna2d1,-0.24376138216138069,-0.1455813082044197,-0.3893426903658004,15.782574951845936,0.3429279479631093,0.41025568554929726,0.3808832613398414,2.0280863372919,48
Cacna2d2,0.32018545247999824,-0.000704865300654417,0.3194805871793438,14.01766158961212,0.23127595993656683,0.3561614617191298,0.3317175196364392,1.7676162189876994,16
Cacna2d3,0.0475984792413352,0.0005008354534130285,0.04809931469474824,16.357760193397517,0.3547106530182996,0.36413008409077446,0.3112960860275691,2.055738429386495,66
Cacna2d4,0.2817433947650797,0.06141805042695037,0.3431614451920301,14.470796871213473,0.4100683446747679,0.24956224544235722,0.396143135949655,1.2054680003398908,26
Cacnb1,0.23513239565524335,-0.015533647514255849,0.2195987481409875,12.351245084657622,0.2486143296151251,0.2600570767440376,0.14657968064426843,0.8981142733937257,11
Cacnb2,-0.08763507111921995,0.014273765591296571,-0.07336130552792336,15.717499136132627,0.30796922431736296,0.27360164973348955,0.40014166431742415,2.004694454187411,41
Cacnb3,0.1376100418594563,0.005430013730227681,0.143040055589684,11.315183555258768,0.22547593572307223,0.23382484223825467,0.18988116845245054,0.8365352438656888,8
Cacnb4,-0.08924454207686583,0.02903840816650974,-0.06020613391035609,15.36386832590792,0.3026405828781847,0.30391665538713475,0.36107464589020705,1.6277980083041041,47
Cacng1,0.16500075591647048,-0.8485695582562041,-0.6835688023397335,12.678820179524049,,,,,1
Cacng2,0.3831399424001265,0.00912243395986771,0.3922623763599942,13.925030746531567,0.5198602604605657,0.4497420398716088,0.40895764965803133,2.2422381077826743,17
Cacng3,0.10783423815238505,0.05550287499235786,0.16333711314474292,13.524582420965634,0.23283220725351786,0.16314640117249632,0.2567711988100307,1.8079365335536919,11
Cacng4,0.311696619334283,0.28795973829289057,0.5996563576271736,11.842353685682323,0.4562905674861883,0.47164387461207397,0.5564653560851884,1.5290571953617933,8
Cacng7,0.19299000723615894,-0.18426883026276103,0.008721176973397915,11.297440293973452,0.1910631543818851,0.17390229509288607,0.20849125302214308,1.8781760714367486,4
Cacng8,0.31365786922815203,0.016675053621616462,0.3303329228497685,12.368480476860576,0.169609955595395,0.22660277154831596,0.11765624337000095,1.1244041947494887,8
Cactin,0.06829931320759257,-0.014175548179470384,0.05412376502812218,10.375384254644432,0.09104827646648524,0.12300095550443192,0.0415000269451444,0.7759268312582366,3
Cacul1,-0.03579913853096994,-0.07680086646194195,-0.1126000049929119,11.522707159468462,0.08588224495153293,0.3150582667607324,0.3930056591696387,0.45979616650748545,3
Cacybp,-0.13595174508762117,-0.11282819870477374,-0.2487799437923949,11.03986066006942,0.11111980417162039,0.15587563495719414,0.1674614474593509,0.47233686035048406,3
Cad,0.13791729835933392,-0.10148173536855233,0.0364355629907816,11.06212451930872,0.34459010085850955,0.2852115585026367,0.22498529834856168,1.6990659764156402,7
Cadm1,0.07768901369157379,0.021659464226086327,0.0993484779176601,15.897307752204702,0.2356949526481689,0.23588980333156193,0.26720559056628207,1.7706425479277383,54
Cadm2,-0.22714052235220594,-0.09826269551198871,-0.3254032178641946,16.725128320818534,0.3613135429030902,0.3521151334756194,0.38835990738184384,2.1370592237690125,61
Cadm3,-0.34888443972750727,0.026412405074633168,-0.3224720346528741,12.268953717342503,0.2439252133681994,0.22107209566664768,0.357578871299257,1.2681327053373566,17
Cadm4,0.4195223394533948,-0.022855579521108994,0.39666675993228584,10.299146887973494,0.22062358755319758,0.13510203995494685,0.22776670916700298,2.6427544805306105,5
Cadps,0.007039104925165138,-0.05005831102192126,-0.04301920609675612,15.84909246398383,0.29850953755298393,0.3999837054553627,0.32418456540003326,2.053557972142705,25
Cadps2,-0.3573492349721783,-0.1032307566279155,-0.4605799916000938,16.68979558113136,0.6106119189737791,0.6318539533538847,0.507124818463265,2.036312066527543,17
Cage1,0.11251594125069385,-0.22213256360989767,-0.10961662235920383,11.859399067981306,0.06177819613581437,0.20498298039882457,0.19871483390630912,1.08336168543513,3
Calb1,-0.30209318835689114,-0.03683309882305261,-0.3389262871799438,10.859949169756318,0.08276402710850633,0.12305580680448493,0.10573627777451605,0.6420958816510824,4
Calb2,0.36111866262928416,-0.3321318229423876,0.028986839686896554,11.685913841087444,0.31020260037175656,0.2602180994513437,0.5704206998231003,0.831390355414732,2
Calca,0.43960190277527156,-0.12459188966094985,0.31501001311432175,11.366818839064416,0.33273436239410137,0.025854970718301434,0.3585893331124029,0.19516168171503906,2
Calcb,0.8196270651653583,-0.8466658477985856,-0.027038782633227232,11.57270022648734,,,,,1
Calcoco1,0.12225517219947273,-0.1711148280049066,-0.04885965580543385,10.943125094923792,0.1823989681754073,0.24063306271207763,0.1281879693757033,0.6439075873338306,6
Calcr,0.39477270760678895,-0.896591073161704,-0.5018183655549151,11.699138625275957,,,,,1
Calcrl,-0.27035194153464825,-0.17844444978573235,-0.4487963913203806,13.694540016664883,0.3643479285148288,0.4024037046446742,0.26593801417541735,2.1205259058460553,5
Cald1,-0.040469097776222956,-0.0977233726460248,-0.13819247042224778,15.248580371425858,0.42493140701774634,0.31744604529850257,0.40193274011701835,0.9952947571470644,11
Calhm2,0.0686698912008896,0.08687644455969597,0.15554633576058555,13.096536782051484,0.4304630802835163,0.4741345906364014,0.18123457057301176,1.1266841187967476,9
Calhm3,0.3838843914771439,-0.1563503470408396,0.22753404443630432,11.003517912108672,,,,,1
Calm1,-0.01129588391978483,-0.02405955394975508,-0.03535543786953991,10.055610291162505,0.25424737749300635,0.23702803894536742,0.08967168765374221,2.2297786375313575,9
Calm2,0.022483482956975498,0.1243928788635629,0.1468763618205384,11.326423038802265,0.0819629573115838,0.1625167983132288,0.0826427498426459,0.47806925537725015,4
Calm3,0.2510233571703329,0.03375487457670248,0.28477823174703537,10.99653192365843,0.22947802341978166,0.2215462395110361,0.17858964026998422,1.2587866362844269,9
Caln1,0.2642378019974326,0.05085171335351374,0.3150895153509463,15.743098503085978,0.3213894312460063,0.3411654095430423,0.3198137771361247,2.7842561714136096,42
Calr,0.11166024953009719,0.05577279258157727,0.16743304211167445,10.559517551858974,0.09656529751457378,0.01645578199645419,0.08050152215456413,1.1605405812149208,3
Calr3,-0.019695976951849964,-0.05076468269678516,-0.07046065964863513,10.859929270478144,0.13919601595470185,0.4917134104647852,0.3565105225003242,2.0707850418663747,4
Calr4,1.0203771926592085,-0.9372330575686472,0.08314413509056129,12.526010107061762,,,,,1
Calu,-0.1270931889321168,-0.024674093497673244,-0.15176728242979004,11.743158372567542,0.1016116530767501,0.172157197943641,0.11383114114646765,1.5202229681015762,5
Caly,0.2593857653059434,0.06409043151853733,0.32347619682448076,11.848515528731351,0.23739948636178992,0.0759672355341977,0.1695436849497437,0.5189677770587152,4
Camk1,0.20905929150180647,0.09201779380252914,0.30107708530433563,11.6722398811878,0.17124715657970202,0.05499987184650841,0.22249581707720095,0.43231218556393547,4
Camk1d,0.1888763101712236,0.017953597342876954,0.20682990751410055,16.273909495277593,0.2634228240486988,0.26971675239979764,0.29077947339740073,1.6814982794741467,62
Camk1g,-0.11056745561876774,0.09539143285575277,-0.01517602276301496,12.485754030150623,0.20442241716026774,0.19677973483280103,0.2411801959864696,0.7877312522649548,9
Camk2a,-0.13811987479903837,0.07553767319921825,-0.0625822015998201,12.529270556514632,0.21400448419019388,0.41819101076712084,0.32402704814749456,2.5069435781568403,14
Camk2b,0.12502234921608693,0.04444556305065636,0.1694679122667433,14.219684329081183,0.2624954430353482,0.3915235321230754,0.3774959762764036,1.4755173307310585,17
Camk2d,-0.15956188597140225,-0.042066251030804545,-0.2016281370022068,14.823311128950724,0.33740443706628137,0.22325780615213178,0.3262824550157983,1.908176015080963,25
