cell_type,gene,DEG,pred,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Pld3,-1,-1,0.443998,0.18132545,0.37467656
L6_CT_CTX_Glut,Lmo7,-1,1,0.89969784,0.0030452816,0.097256824
L6_CT_CTX_Glut,Kif5b,-1,0,0.017770864,0.29647985,0.68574923
L6_CT_CTX_Glut,Brd9,-1,-1,0.41268522,0.30659366,0.28072107
L6_CT_CTX_Glut,Ttll4,-1,-1,0.43163267,0.07419315,0.49417424
L6_CT_CTX_Glut,Hspbp1,-1,-1,0.02255476,0.651863,0.32558227
L6_CT_CTX_Glut,Shisa7,-1,-1,0.6721925,0.23974879,0.08805875
L6_CT_CTX_Glut,Gng13,-1,-1,0.82150686,0.11189425,0.06659888
L6_CT_CTX_Glut,Tmem178,-1,-1,0.8107979,0.04322099,0.14598104
L6_CT_CTX_Glut,Pde4b,1,1,0.973242,0.0018804822,0.024877626
L6_CT_CTX_Glut,Gtf2ird1,-1,-1,0.9405797,0.023317404,0.03610291
L6_CT_CTX_Glut,Sema6b,-1,-1,0.85665315,0.103969716,0.03937718
L6_CT_CTX_Glut,Rgs11,-1,-1,0.84527004,0.11233466,0.0423953
L6_CT_CTX_Glut,Usp33,-1,0,0.005271031,0.5689832,0.42574576
L6_CT_CTX_Glut,Tmem259,-1,-1,0.5235204,0.26504126,0.21143833
L6_CT_CTX_Glut,Actr2,-1,0,0.25769103,0.029060043,0.71324897
L6_CT_CTX_Glut,Fezf2,-1,-1,0.40445077,0.47961307,0.11593621
L6_CT_CTX_Glut,Trappc8,-1,-1,0.7081029,0.022345092,0.26955202
L6_CT_CTX_Glut,Frmd3,-1,1,0.0021685434,0.019124174,0.9787073
L6_CT_CTX_Glut,Ppp2r5b,-1,-1,0.727048,0.21070997,0.062242087
L6_CT_CTX_Glut,Kansl3,-1,-1,0.6715271,0.21368834,0.11478465
L6_CT_CTX_Glut,Atp6ap1,-1,0,0.0023701063,0.9549229,0.042707037
L6_CT_CTX_Glut,Cdh12,1,1,0.001715139,0.009736153,0.98854876
L6_CT_CTX_Glut,Smg5,-1,-1,0.7692449,0.19263197,0.03812308
L6_CT_CTX_Glut,Uqcrq,-1,-1,0.034645565,0.5930307,0.37232363
L6_CT_CTX_Glut,Camk2g,-1,-1,0.89543587,0.05090215,0.053661987
L6_CT_CTX_Glut,Strada,-1,-1,0.048592586,0.46706223,0.4843452
L6_CT_CTX_Glut,Sdk2,-1,-1,0.9527783,0.0020076765,0.04521407
L6_CT_CTX_Glut,Gle1,-1,-1,0.9442933,0.03580848,0.019898135
L6_CT_CTX_Glut,Pip5k1c,-1,-1,0.93337095,0.046424266,0.02020474
L6_CT_CTX_Glut,Polr3c,-1,0,0.10893167,0.7899964,0.10107204
L6_CT_CTX_Glut,Camta2,-1,-1,0.8956423,0.024806974,0.079550676
