gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Tmtc4,0,1,3.6337248e-19,1.5070107e-33,2.159596e-21,1.0,2.4086053e-29,2.0872883e-24,8.27214e-28
Gng10,0,0,0.99234205,8.9641725e-09,0.0070284554,2.2121451e-13,8.7734475e-10,0.0006293036,1.5872564e-07
Smad9,0,1,3.7947952e-13,6.055092e-22,2.8565265e-07,0.99999976,7.2360295e-22,2.5722008e-17,3.965881e-21
Ninl,0,1,1.9417142e-13,6.919746e-08,1.718714e-07,0.99999976,1.7977373e-22,3.8510026e-18,2.8692853e-20
Cndp2,0,1,2.9488268e-19,6.398399e-24,5.646424e-14,1.0,1.2392531e-21,3.3840114e-17,9.32154e-20
G630016G05Rik,0,0,0.00023119147,0.002771356,0.011508026,4.3434755e-27,4.4583533e-07,0.9853903,9.86733e-05
3110039M20Rik,0,0,0.99882275,5.468621e-12,0.00031441628,0.00027728436,1.5319893e-09,0.00058535347,1.7860147e-07
Pigg,0,0,2.782835e-09,1.8631466e-17,0.0009312273,0.9990688,7.695992e-12,6.659135e-11,8.705974e-09
Itpk1,0,0,0.00022887786,1.4565611e-05,2.1010215e-05,1.9856769e-38,2.757819e-07,0.9996847,5.069939e-05
Snx21,0,0,9.234835e-10,0.99999785,5.1509297e-11,7.656994e-30,2.5495777e-12,2.198922e-06,6.275261e-10
Dusp6,0,-1,1.0696783e-34,1.0,2.5164285e-29,0.0,8.108238e-37,7.670827e-33,1.2845856e-35
Ap2s1,0,1,2.7017701e-24,9.940539e-34,5.837482e-26,1.0,9.103744e-32,1.0686991e-27,1.4288646e-30
Ost4,0,0,1.4400986e-23,3.7945295e-16,1.0408323e-21,2.0692555e-21,1.0,2.0119205e-21,7.38612e-24
Snhg11,0,-1,9.8762e-40,0.00012797902,1.1188106e-34,0.0,2.79e-42,2.3633e-41,0.99987197
Ecsit,0,1,3.029977e-22,8.173662e-24,4.631431e-18,1.0,2.8814976e-25,2.81145e-20,2.0881733e-23
Pcca,0,-1,9.87746e-40,5.461148e-29,1.101826e-39,0.0,1.316e-42,2.3636e-41,1.0
Suclg1,0,0,1.8737967e-09,0.99920267,1.7688348e-05,0.000774779,2.0095859e-12,4.9371856e-06,1.3071981e-09
Fbxo41,0,0,1.4400986e-23,2.7760163e-19,2.6568752e-21,0.0,1.0,6.2057894e-20,4.3966287e-24
