,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Nup37,0.0545018664940026,-0.529344758702043,0.025,0.036,1.0,0
Dhfr,0.0545742733972415,-1.06418377999736,0.006,0.014,1.0,0
Dnajc27,0.0546435509030145,-0.193872287554878,0.051,0.061,1.0,0
Piga,0.0546464342556932,-1.17821902324339,0.004,0.011,1.0,0
Kbtbd2,0.0546748753656852,-0.184616794441544,0.042,0.05,1.0,0
Npdc1,0.0547083253462693,-0.113643188046278,0.141,0.149,1.0,0
Gkap1,0.0547740857627591,-0.494797085530661,0.043,0.062,1.0,0
Zfp945,0.0548411917713938,-0.355656946484146,0.07,0.09,1.0,0
E2f6,0.0548612786167195,-0.528130879757153,0.02,0.029,1.0,0
1110046J04Rik,0.054894164514842,-0.631224372721257,0.018,0.029,1.0,0
Klhl4,0.0549318198330234,-0.646572337054693,0.01,0.018,1.0,0
Rps19,0.054966729667655,0.551367040557216,0.044,0.03,1.0,0
Pithd1,0.0550612165276331,-0.770561054330146,0.018,0.031,1.0,0
Ccdc97,0.0550675001357883,-1.11932533418983,0.004,0.01,1.0,0
Rnpc3,0.0551548941134424,-0.213612929778587,0.097,0.118,1.0,0
Polh,0.0551625270189688,-0.59169600853462,0.025,0.038,1.0,0
Pea15a,0.0552108201670946,-0.341717755526273,0.065,0.082,1.0,0
Ppp2r3c,0.0553105810291728,-0.578756952827121,0.019,0.029,1.0,0
Rap1gds1,0.0553889355915508,0.140339445093905,0.435,0.391,1.0,0
Dars,0.0554493580588676,-0.117286188916226,0.152,0.17,1.0,0
Wdyhv1,0.0555499693927867,-0.136897963637774,0.042,0.052,1.0,0
Mcm3ap,0.0555796889815022,-0.233914465991757,0.083,0.099,1.0,0
Ism1,0.0555917822065787,0.705587959252084,0.042,0.026,1.0,0
9430038I01Rik,0.0556751753940165,-0.639398304166957,0.016,0.026,1.0,0
Slc26a2,0.0558025022151107,-0.704287834910981,0.009,0.016,1.0,0
Mrps23,0.0559546147131085,-1.04215747366736,0.005,0.011,1.0,0
Tmem196,0.0560417369042941,0.391767269904972,0.131,0.101,1.0,0
Ccdc51,0.0560597749550616,-0.926680256247429,0.008,0.017,1.0,0
Taf11,0.0560724676899134,-0.633483879903382,0.02,0.031,1.0,0
Pa2g4,0.0562539477356461,-0.318258782702284,0.042,0.054,1.0,0
Tyw3,0.0562651382357693,-0.926680256247428,0.007,0.014,1.0,0
Snx4,0.0562749336043572,-0.249925279606782,0.098,0.117,1.0,0
Spint2,0.0565248958295955,-0.756755254805116,0.006,0.013,1.0,0
Hadha,0.0565328693757675,-0.334184082840865,0.065,0.082,1.0,0
Lyrm7,0.0565525945435739,-0.756755254805116,0.016,0.027,1.0,0
Ubxn1,0.0565558021808785,-0.708500086197895,0.013,0.021,1.0,0
Cmc1,0.0565809450374712,-0.551171121155222,0.033,0.049,1.0,0
Tdg,0.0566715721633315,-0.39830128389264,0.033,0.044,1.0,0
Pde1c,0.0567950069340872,-0.704287834910981,0.016,0.025,1.0,0
Asah1,0.0568350880379012,-0.182239541519076,0.144,0.165,1.0,0
Ndufaf7,0.0568685570007601,-0.175468412227358,0.092,0.109,1.0,0
Cage1,0.0568791761705851,-0.558035662453036,0.023,0.034,1.0,0
Cyb5b,0.0570197322802349,-0.173662256795856,0.154,0.175,1.0,0
Rdh14,0.057156862629228,-0.609198066391259,0.018,0.028,1.0,0
Gm13483,0.057174993182861,0.382072449892201,0.074,0.058,1.0,0
Gpbp1l1,0.0572197121051866,-0.146272233402921,0.149,0.161,1.0,0
Efcab7,0.0573017964600263,-0.181937311489503,0.042,0.049,1.0,0
Katnal2,0.0573055153596996,-0.223073259027653,0.064,0.077,1.0,0
Zfp748,0.0573412520014458,-0.926680256247429,0.008,0.016,1.0,0
Pign,0.0573490342176022,-0.209523143161403,0.141,0.162,1.0,0
Tmem245,0.0574222479453834,-0.155658666890024,0.183,0.203,1.0,0
Zc3h15,0.0575613631200052,-0.322221579900476,0.101,0.123,1.0,0
Gng2,0.0575621623187711,0.171028064252479,0.453,0.407,1.0,0
Psma2,0.0575938663786551,0.127767527774948,0.081,0.072,1.0,0
Gm15494,0.0576320137995531,-0.56411017686272,0.016,0.025,1.0,0
Skil,0.0576514081565075,0.324959394986254,0.153,0.12,1.0,0
Serp1,0.0576774968966187,-0.726381605761597,0.012,0.021,1.0,0
Als2,0.0576932270678472,-0.170349337214291,0.168,0.187,1.0,0
Slc25a14,0.0577118917659047,0.338401978235224,0.091,0.077,1.0,0
1110019D14Rik,0.0577742137318358,-0.467981528172445,0.051,0.073,1.0,0
Mrpl28,0.057794212673524,-0.677320787310712,0.014,0.023,1.0,0
Bcl2l1,0.0578271303802776,-0.206558172244637,0.081,0.096,1.0,0
Scube1,0.0578397596528894,0.153384132681751,0.233,0.198,1.0,0
