,DEG
Kdsr,1
Abcd3,1
Kctd17,1
Sertad2,2
Zfp287,1
Endod1,0
Xaf1,2
Uqcc2,0
Prpsap2,1
1810062O18Rik,0
Gm15787,1
Crkl,1
Pim3,0
Gtf2e2,1
Ninj2,1
Hist1h2bc,0
Ubr4,1
Arhgap15,2
C130071C03Rik,2
Ecd,1
Rnf4,1
Atp6v1f,0
Lrpap1,0
Tmem9b,0
Ran,0
Mphosph6,1
Cnot8,1
Fgd4,2
Hps4,0
Lmo4,1
Pxdn,2
Naca,0
Rbpj,1
Trmt11,1
Gfm1,1
Usp31,2
Zdhhc13,2
Hdac5,0
Ccs,1
Cfl2,0
Tor1aip2,1
Yes1,1
Faim2,0
Smim1,0
Itpk1,0
Grid2,2
Cox5a,0
Sgk1,0
Timp3,0
Rab6b,0
Klf3,2
Rc3h2,1
Ppfibp2,2
Cacna2d3,2
Dtymk,1
Usp6nl,0
Rps19,0
Siah2,1
Uba1,0
Bex2,0
Fndc3a,2
Dynlrb1,0
Rhbdd1,1
Ndufa7,0
Rapgef1,1
Dcaf10,2
Art3,2
9330159F19Rik,1
Tmbim4,0
Erp29,0
Sh3bgrl3,0
Tmem14a,1
D6Wsu163e,1
Jam3,1
Cops8,1
Slc22a23,1
Tshz3,0
Tatdn3,1
Zkscan3,1
Sun2,1
Urb1,1
Hsp90ab1,0
Clip3,1
Ndufa4,0
Prkci,1
Sema6d,2
Meis2,2
Eif4a1,0
Adrm1,1
Tmem132d,2
Numb,1
Tkt,0
Acap3,1
Gm15738,0
Irf2bp2,1
Zc2hc1a,2
Map1lc3a,0
Ppp1r15b,0
Parp4,2
Zfp462,2
4930522L14Rik,1
a,1
Ndufc1,0
Idh2,1
Psmd1,1
Camsap1,1
Trf,0
Raph1,2
Fubp3,1
Rps10,0
Tti1,2
H13,1
Zfp516,1
Adssl1,0
Immp2l,2
Tprgl,0
Chmp7,1
Tmem229a,0
Cpq,0
Dennd5b,1
Rbx1,0
Prdm10,2
Ctnna2,2
4632427E13Rik,1
Arsb,2
Rps26,0
Fam151b,1
Kctd8,1
Tmem258,0
Camk4,2
Aatk,1
Begain,2
Elavl1,1
Tsn,0
Zc3h14,1
Glt8d1,0
Calm3,0
Orc6,1
Ralyl,2
Dvl1,0
