gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Rnf40,16032.0,0.0792078268473552,-0.2223924213347308,0.0734103950065147,0.0,0.0,0.0,0.0004708851846153,-0.0011339759815384,17.17554192317654,0.0015008385193727,0.0167686133436947,-0.0029108519402097,0.0196794652839044,0.0291244738943141,0.0046687019037148,-0.060364416832714,0.1009312639384065,0.0872356210591118,-0.0187968077700911,-0.2266622083545073,0.1476000378918258
Serpinb6a,84876.0,-0.1685439272745115,-0.4854268271619979,0.0,0.0,0.0,0.0,0.00017593535,0.0002427170999999,19.834586210942284,0.0004148782868518,-0.010379044358746,0.0224577075311416,-0.0328367518898877,0.0724822166852002,0.0437826061883684,0.0097823732842403,0.5880658112575416,0.0763890130452971,-0.1826727645299199,-0.307721278781776,0.0666066397610567
Rspo3,83451.0,-0.2564195985445963,0.0,0.0,0.9486272159339773,-0.2292688290521005,0.0,2.6757643478260888e-05,0.0001723136028985,18.70520853834966,0.0008140249318381,-0.0085137720253644,0.0197492399241778,-0.0282630119495422,0.0652657257440042,0.078556072719139,-0.0719864658875787,0.245533485185339,-0.3440587647691415,-0.5722341135001615,-0.5033162234219338,-0.2720722988815627
Panx2,13833.0,0.2676391554584891,-0.5145731728235754,0.0860010825995617,0.0,0.0,0.2074102952104115,0.0002971838499999,0.000244211475,16.50651032336323,0.0011495678058994,0.0519363027052632,0.0858498200850482,-0.0339135173797849,-0.0559975343805079,-0.0406253777755059,0.122969048549952,0.4191981166933993,0.263778205118347,-0.2748808139109244,-0.1239241027675812,0.140809156568395
Mrpl36,3665.0,-0.2625181882668679,0.0,0.0,0.0,0.0,0.0,0.0001701580519999,0.000220951859,19.068868374664014,0.0009295234236839,0.0393097573626262,0.0556936130670643,-0.0163838557044381,-0.0672488583383695,-0.0341803415582465,-0.0447199101389879,-0.1183191705820925,-0.1183191705820925,-0.0735992604431046,-0.0447199101389879,-0.0735992604431046
Cggbp1,7511.0,-0.1776143132075427,-0.5145731728235754,0.0,0.0,0.0,0.0,0.0018034027625,-0.00099756054375,19.272847254056646,0.001035249908548,0.0138700033473105,0.0626372408790227,-0.0487672375317121,-0.0060895879076462,0.0095950287252445,-0.0095045857443115,-0.0735842119166747,-0.2912187134325816,-0.4119131756286549,-0.0665067204856511,-0.28171412768827
Pxn,49311.0,0.0,0.0,0.0,0.0,0.0,0.1389347234591392,0.0018516222823529,-0.000564875817647,15.277016602247116,0.0017545226763611,0.0156479135278073,0.0220329675017498,-0.0063850539739424,0.0028728426831801,0.0008988815465205,0.0336784698113941,0.7917909383905828,0.3725587365369065,-0.1782754652894345,-0.3009559906801167,0.3388802667255123
Got2,24413.0,0.202781685844585,-0.3219280948837557,0.2026785945411079,0.0,0.0,0.4930400111254418,0.0008045038999999,-9.64202049999998e-05,16.85150889438246,0.0006185978400378,0.0182654424082863,0.045752181988086,-0.0274867395797997,-0.0238093226791484,0.0374021382707603,-0.0201679330595012,0.4125174145552109,0.0638577475310915,-0.2762668951412395,-0.2312780158293514,0.0840256805905928
Mapk1ip1l,24938.0,0.0356020996007369,-0.222392421333013,0.1734920607728595,0.0,0.0,0.0,0.0011117394464285,0.0004886853964285,16.387095032768325,0.0013128315397109,0.0267878681781794,0.0020455691143514,0.0247422990638279,-0.0410257581235152,-0.0320398909766532,-0.1369138910239316,0.4716965006572852,0.0047705498575596,-0.024100544189934,-0.4966440881751861,0.1416844408814913
Gm15513,1992.0,0.1764788951396143,-0.415037499274836,0.1053554560509802,0.0,0.0,0.0,0.0011447183974358,-0.0005441248487179,17.02463108926384,0.001128278899735,-0.0170887686205725,-0.0107947222821089,-0.0062940463384636,-0.0385388254850327,-0.0695699771881352,-0.2305393383464484,0.2706845057300953,0.1154544326600456,0.1971922148005001,-0.4820723855185415,0.3459937710064942
