gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Mcm9,0.1047887674625963,0.07615584217011928,-0.04614572838880122,-0.03732814415358007,0.007173740486614406,0.000755838118493557,-0.001125107454136014,0.06939046801067889,0.051386658614501354,-0.0076699110958725215,0.022848455961793662,0.005634317100048065,0.11291681529022753,-0.006847546135541052,0.1155242672143504,0.012319945290219039,5.336827598512173e-05,0.01548819335643202,-0.030312246978282928,-0.04320336701348424,-0.0019531974708661437,-0.08378872068598867,1.0,1.0
Atpaf1,0.21459670984186233,-0.07288191404193639,-0.018168308050371708,-0.02541270650923252,-0.16182275008875877,0.0005636882781982422,-0.001027080798521638,-0.035708725027507174,0.1119353073835373,-0.02165234464686364,-0.03627783861942589,0.04650872679892928,0.11282645647414029,-0.0616733264020877,0.026474308604374528,0.0781839901371859,-0.008095619743689894,0.005366516076028347,-0.012945446823723615,-0.011261547412723304,0.0995120420632884,-0.02321964661590755,1.0,1.0
Mtss1,-0.41932935793418435,0.0009141903510317207,0.08650799177587032,-0.06084085563197732,-0.003652365077286959,0.000755838118493557,0.0002481546485796571,-0.06336413632147014,0.039000082015991214,-0.007936219400726259,0.01789259205106646,0.022801569607108833,0.05942195951472968,-0.016543014640919864,-0.046851204405538735,0.03682005521375686,-0.001332616014406085,0.017380806896835566,-0.052926063206978145,0.01103286588564515,-0.07723800443287474,-0.08854440019465983,1.0,2.0
Sil1,-0.424860943518579,0.02511704129166901,-0.02480769287329167,-0.07347237040754408,-0.06580757034011185,0.0005636882781982422,-0.009610507844481617,-0.021485379775986076,-0.013922867514193058,-0.004633519537746906,0.018258797046728434,0.03415229825302959,0.05498083353508264,-0.011082051629200578,-0.04247176277451217,0.005812736195512116,-0.006447345502674579,0.017311276867985725,-0.015139165176078677,0.022448673918843268,-0.05846934241708368,0.017040092125535013,1.0,0.0
Pcsk5,-0.4735067962156609,-0.01827100174501538,-0.00756769091822207,-0.055074068773537876,0.005402452796697616,0.000755838118493557,0.00028765482362359763,-0.03884762672707438,-0.01616461339406669,-0.004900332167744636,0.018363953926600517,-0.017575106853619217,-0.07204629774671048,0.045883349901414475,-0.029519620693754405,0.04346380404662341,0.00827991807833314,0.013577294982969761,-0.035712512333411724,0.008599735721945763,-0.08171992988034617,-0.07428128299303353,1.0,2.0
Ppp2r2a,0.016182982926256955,-0.0543679402442649,-0.02611275021918118,-0.034045620234683154,-0.008435730496421457,-0.0003970609977841377,-0.003129549561999738,-0.045215608524158596,-0.06743140311446041,0.06642653612419963,0.047740848106332126,0.010442671226337552,-0.0048602179158478975,-0.035569297675974665,-0.2683587364433333,-0.04840935932938009,-0.004965465012937784,0.01414110355079174,0.03614278806373477,0.002335941484197974,-0.034866356370039285,0.03398391298018396,1.0,2.0
Idh2,0.1578333792835474,-0.033636670960113406,0.0012316003767773509,0.08462892957497388,-5.0351256504654884e-05,0.00046761334873735906,0.0012418852699920535,0.03575112815247849,-0.09502088113687933,-0.01677828072104603,0.03429380696732551,-0.08615578541066497,0.014954131217673422,-0.0062703511159634216,-0.02288705953862518,0.027402034576516597,0.04053505036979914,0.01576928183436394,-0.009027201933786273,-0.009715208765119315,-0.019958351626992225,0.009674518052488566,1.0,1.0
Rnf40,0.2116540023125708,-0.08419863426126539,0.002884315587580204,-0.028204447721363976,-0.0063427069736644625,0.00046761334873735906,0.00463387843221426,0.06939197102561594,-0.18867968939244747,-0.005783968577161431,-0.042664866973645986,0.03480606563389301,0.07348993348889053,0.050533320761751384,-0.05810331234708428,-0.04817647517193109,0.0385566557943821,0.00860484605655074,-0.010300168795511126,-0.000489558894187212,0.043787782108411194,0.014145252760499716,1.0,2.0
Bbs7,0.14217644049786032,0.10930257191415876,-0.057863687491044404,0.07949300139211118,-0.00010292774066329003,0.0008519130572676659,-0.0004733734531328082,0.06222441164776683,0.015432647448033094,0.073847158937715,0.030465958141721785,-0.06672718243440613,0.0520298965414986,0.023875317835481837,-0.1648866410064511,0.02026888550957665,-0.020664823520928622,0.01806117941159755,2.8871512040495872e-05,0.014900926621630789,-0.07788812492974102,-0.05387345587834716,1.0,1.0
1700037C18Rik,0.14800348497927188,-0.018812203034758567,0.007721736072562635,0.0713417539699003,0.00583424218930304,0.00046761334873735906,0.0010817057685926557,-0.0359163928788621,-0.1747812400199473,-0.0040199610451236364,-0.055805212422274056,0.04546317063271999,0.08606507936492562,0.051271536774002015,0.013063577949069441,0.08637190033914521,0.03754026731476188,0.007489325469359756,0.03810661466559395,0.018124686358496546,0.05589573927689344,0.029040541406720875,1.0,1.0
