gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Cnnm2,118596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6325102334923155,1.3373167658968967,0.0009141369999999,0.0014032744137566,0.0978968789804232,0.0022351194291643,0.1001992199999999,16.1936321045346,0.0312876550534327,0.0673874922535656,-0.0360998372001329,0.2794721041245612,-0.0971514247061536,0.1823206794184076,0.1017427604748945,0.5694646276526899,0.8176819147731659,-0.3826291686760168,0.1495041369250354,-0.509210364233514,0.0477613764501409
Ipp,30694.0,0.0,-0.2553530409972078,1.0,-0.0514203003026707,-0.0704529071003881,-0.0704529071003881,1.0,0.0,0.0,0.00049696995,0.0005825482342105,-0.0364861892105263,0.0011798143521645,-0.0311983649999999,17.64636493890272,-0.0187734890143838,-0.0141858799970596,-0.0045876090173241,0.0368168782755393,-0.0259990749547174,0.0108178033208219,-0.1775087533886394,0.5571496690070195,0.422497583893018,0.0292125456074869,0.1823161966807963,0.1665589957320943,0.3598249500694357
Ndufb3,9580.0,0.0493022060177124,0.2979158747879149,3.0,-0.1777845669217409,-0.0011741271288339,0.1362036828934941,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026506359640718,0.0217900974052219,0.004716262235496,-0.1017174664435791,0.1476735654498957,0.0459560990063165,-0.0143094956635814,0.2429434214788859,0.4128401826422796,-0.4135231113456115,-0.1689250715281769,-0.462255661610127,-0.1546155758645955
Bcl7c,47477.0,0.0,0.0706583826622457,0.0,-0.0120542972466073,-0.0305462026405214,-0.0034868976598256,0.0,-0.3985915583844232,-0.0188965553986783,0.0019152635499999,0.0018168032468749,0.0441879987187499,0.0015913864458853,0.04687522,15.88561935339994,0.0244884100450342,0.0163522482809075,0.0081361617641267,-0.2618637097610429,0.081901247529875,-0.1799624622311678,-0.2816219142223911,1.184174471687251,0.6073889710304976,-0.2197744319717731,0.2654773804538849,0.2028020330579101,0.547099294676276
Prkar2a,61122.0,0.0,-0.0452910690510632,0.0,-0.0410258684801791,-0.1272807219740901,-0.0378720131214319,0.0,0.0,0.0,-0.0001819289999999,-0.0006934088714285,0.0599626208571428,0.0017588658609678,0.042490981,15.971042978723425,0.0190015149298091,0.0609005789892202,-0.0418990640594111,0.1111452955888446,-0.0150625317704695,0.0960827638183751,0.0530457472106513,0.5349182942369476,0.9158152796624,-0.2551075051139932,0.24109538661127,-0.2021936846101783,0.1880496394006187
Hmgn2,3912.0,0.1315507842915984,0.0734557234045034,2.0,0.1665255619741747,-0.1408564359336153,-0.0868462641154037,2.0,0.0,0.0,0.00050371215,0.0002623234999999,0.1831337238117647,0.0014650556947177,0.174975343,17.548332654885513,-0.0639799298145344,0.008367695403197,-0.0723476252177315,-0.0673701270614756,0.0638585578066243,-0.0035115692548512,-0.1934548247199475,0.1369871375631748,-0.0212004620103747,-0.1932149089541477,-0.0882058716779954,0.0668542981656572,0.1052489530419521
Nipa1,42387.0,0.0,0.332546012278234,1.0,0.4867265511546748,-0.1541805388764408,0.0304925426021939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250494816198738,0.0088627589365114,0.0161867226833623,-0.0605406053039943,0.0522212907262349,-0.0083193145777593,-0.2228054020463893,0.6269490392016561,0.3104072333364951,-0.0616377943951815,0.0791642824973339,-0.0428110608183733,0.3019696845437232
C1ql3,8349.0,0.0,-0.1141465824796368,0.0,-0.1652960020163882,-0.0445033166617951,0.0208285926903137,0.0,0.0,0.0,0.0008360135,0.0008566744999999,0.0254207715272727,0.0010082331311802,0.00863067,17.67873071715512,-0.0041920900805333,-0.0202795064636994,0.0160874163831661,-0.1221000714895064,0.0375749325988647,-0.0845251388906416,-0.0604940121280803,0.3487962200322996,0.3514584349835667,-0.5719610431155919,-0.1239247674249674,-0.3382233722117136,-0.063430755296887
Cnrip1,27785.0,0.0896302094464522,-0.3140473596940185,2.0,-0.3970434644681693,-0.1192534149847821,-0.072913704978939,2.0,0.0,0.0,0.00278345275,0.002364365625,0.0591588225,0.0008853917391786,0.073469165,16.721973782372956,-0.0061255628389936,0.0298043536217996,-0.0359299164607933,0.0038049536045019,0.2041469822934921,0.2079519358979941,-0.0366777412326669,0.1981970386698019,0.0838270150442322,-0.5289627768793759,-0.1798168928524998,-0.5044304988796258,-0.1431391516198329
Diras2,26899.0,0.0,0.0,0.0,0.0005725224967623,0.0,0.0,0.0,0.0,0.0,0.00060486375,0.0008254196992307,0.036471660926923,0.0015414234918357,0.0386043674999999,17.820166330037566,-0.0074467709858674,-0.0067927059610903,-0.000654065024777,0.0755682652506777,-0.1063959704618802,-0.0308277052112024,-0.0063220935872317,0.3215272440896808,0.3044439795718444,-0.2487135145821506,0.0657578312910056,-0.3060871668473766,0.0720799248782373
