,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Txndc17,0.163277538003241,0.404074515068032,0.03,0.023,1.0,0
Gid4,0.163439854158213,0.330212813593644,0.072,0.057,1.0,0
Slc35f5,0.163552903622844,0.451515509985349,0.112,0.08,1.0,0
Fgf2,0.163750335233966,1.14773476180825,0.01,0.004,1.0,0
Aptx,0.16375156407671,0.45151550998535,0.054,0.042,1.0,0
Il18,0.163932977901685,-0.457986299079707,0.014,0.021,1.0,0
Nell1,0.164549481573722,-0.570026621460808,0.065,0.077,1.0,0
2810454H06Rik,0.164927750081293,0.526246385061976,0.018,0.013,1.0,0
Vma21,0.165127910955862,0.546284138298521,0.041,0.028,1.0,0
Chst12,0.165836286527006,0.546284138298521,0.021,0.013,1.0,0
Rbks,0.16587384662269,-0.395407563218283,0.072,0.089,1.0,0
Arfgap3,0.165926737042667,0.53768128012426,0.055,0.037,1.0,0
Wdr4,0.165956557037086,0.536777052554147,0.039,0.027,1.0,0
Zfp963,0.165993996483244,0.633161588978488,0.03,0.019,1.0,0
Noc3l,0.166028759068624,0.450297531828677,0.08,0.057,1.0,0
Phospho2,0.166121063803858,0.382200015445269,0.044,0.031,1.0,0
1810037I17Rik,0.16635300450946,0.294576150137518,0.067,0.054,1.0,0
Cep76,0.166851941525216,0.785164682423538,0.03,0.017,1.0,0
Zfp825,0.167103654720419,0.944201367723115,0.024,0.012,1.0,0
Myocd,0.167334729845388,0.311233494091126,0.017,0.016,1.0,0
Ndufa1,0.167612064284702,0.510304841192955,0.019,0.013,1.0,0
Mrpl23,0.168336082997482,0.349368622977897,0.033,0.025,1.0,0
Rab31,0.168620819083986,-0.276763066719664,0.052,0.059,1.0,0
Wdr74,0.169022553210301,0.817586160115916,0.025,0.014,1.0,0
Acad12,0.169112080105244,0.732697262529403,0.015,0.009,1.0,0
Cdkl4,0.169145258455391,0.443190645334417,0.057,0.041,1.0,0
1700112D23Rik,0.169294209208485,-0.352694228701242,0.03,0.035,1.0,0
Sh3bgrl2,0.169551908024472,0.625782058612891,0.028,0.017,1.0,0
Plrg1,0.169781959281042,0.848174479949338,0.028,0.015,1.0,0
4632404H12Rik,0.169986035089028,0.603414245584436,0.035,0.022,1.0,0
Rtbdn,0.170179901822076,0.751806085477107,0.027,0.016,1.0,0
Larp6,0.170435584013547,0.406046757399637,0.044,0.033,1.0,0
Hmbs,0.170612721701032,0.833626171380183,0.027,0.015,1.0,0
Dhdh,0.170631590930775,1.46966285669561,0.01,0.003,1.0,0
Uvssa,0.17073374039668,0.407970534289367,0.074,0.055,1.0,0
Rnf219,0.17075012600704,0.410769167642041,0.047,0.035,1.0,0
Gm16124,0.170763968830347,0.25082825477235,0.041,0.033,1.0,0
2900079G21Rik,0.17128447856194,-0.764802396941414,0.012,0.021,1.0,0
Arl6,0.171313914854028,0.36003836552111,0.067,0.053,1.0,0
Nrp2,0.171422787342673,-0.218628890734908,0.136,0.149,1.0,0
Tgfbr3l,0.171453650224634,1.22573727380952,0.013,0.005,1.0,0
Zfp422,0.171752813501421,0.835790755493506,0.021,0.011,1.0,0
Msmo1,0.171787974596559,0.393491176210205,0.114,0.089,1.0,0
Vcl,0.17225783374569,-0.125283732598169,0.065,0.067,1.0,0
Cyp4x1,0.172264948811662,0.580694169084352,0.058,0.039,1.0,0
Mrpl33,0.172489518304999,0.161409698705323,0.076,0.069,1.0,0
Rragd,0.172633384773439,0.315191507659809,0.053,0.041,1.0,0
Pepd,0.172649613199855,0.24395007706755,0.045,0.037,1.0,0
Cnpy3,0.172684891516669,0.192822651336784,0.047,0.041,1.0,0
Oacyl,0.172987048085484,0.519703539195205,0.031,0.021,1.0,0
Ubxn1,0.173062938749634,0.748127303099008,0.034,0.02,1.0,0
Sema3d,0.173439350278755,0.437241379003232,0.013,0.011,1.0,0
Gpkow,0.174051693136138,0.35022762570699,0.059,0.047,1.0,0
Taf4b,0.174494003417672,0.21116014194988,0.067,0.057,1.0,0
Impa2,0.174629704743862,0.884700355974453,0.025,0.013,1.0,0
Dut,0.174668512473375,0.24961437582746,0.032,0.026,1.0,0
Chst2,0.175578023557528,0.732697262529403,0.016,0.01,1.0,0
Txnl4a,0.175800231131703,0.700275784837025,0.016,0.009,1.0,0
Cygb,0.175885054361209,0.858228144613261,0.013,0.007,1.0,0
Ralb,0.175984202960359,0.867626842615511,0.019,0.01,1.0,0
Ephx2,0.176487431328202,1.14773476180825,0.011,0.005,1.0,0
Egf,0.176675687556158,0.311233494091126,0.02,0.015,1.0,0
B230219D22Rik,0.176756009205795,0.130032760074787,0.111,0.101,1.0,0
Rab9,0.17678220019851,0.528338764023217,0.049,0.034,1.0,0
Hsdl2,0.176830970076819,0.709613649416362,0.022,0.013,1.0,0
Rasl10b,0.177313538139257,0.716018521382773,0.031,0.019,1.0,0
Gm15478,0.177597683479839,-0.783552488107739,0.028,0.049,1.0,0
Pdlim1,0.177786608689671,0.449390461669347,0.036,0.028,1.0,0
Gm13427,0.177842923159379,-0.659620160249357,0.008,0.013,1.0,0
9430041J12Rik,0.178029792132665,0.299737855253296,0.029,0.023,1.0,0
Tha1,0.178083797655917,0.732697262529403,0.017,0.01,1.0,0
Fgfbp3,0.178321299649882,-1.31169685682905,0.005,0.014,1.0,0
Pomt2,0.179293293150299,0.379060307914702,0.096,0.074,1.0,0
Lurap1l,0.17936622102718,-0.124344783628555,0.037,0.037,1.0,0
Mcfd2,0.179414327008338,0.625782058612891,0.028,0.018,1.0,0
Hrh3,0.180052045387005,0.519703539195205,0.016,0.01,1.0,0
Gm29514,0.180152280992778,0.386521621395363,0.039,0.031,1.0,0
Lrrc14,0.180264293851402,0.459678768122987,0.025,0.019,1.0,0
Gm12592,0.180372048004182,-0.475701886727546,0.027,0.035,1.0,0
Xrcc6,0.180429126569707,-0.206447532083743,0.078,0.086,1.0,0
Mmab,0.180547151877159,0.633161588978489,0.025,0.016,1.0,0
Gm16599,0.180608331487442,-0.638861600082561,0.029,0.044,1.0,0
Gm26652,0.180703068597043,-0.368030228553884,0.084,0.104,1.0,0
Mtx3,0.18079101107538,-0.107079137220579,0.064,0.066,1.0,0
Oprl1,0.180854559456284,0.673803573475834,0.026,0.016,1.0,0
Mtrf1,0.181104966762739,0.573999516510344,0.031,0.021,1.0,0
Rbm18,0.181174581821165,0.242593948149688,0.079,0.063,1.0,0
Asb11,0.181574571468918,0.384773959109096,0.024,0.017,1.0,0
Dna2,0.181730726721102,0.848174479949338,0.028,0.015,1.0,0
Lin7a,0.181783256453082,-0.296183857457726,0.089,0.103,1.0,0
Hccs,0.181817605926885,0.666201850742496,0.038,0.023,1.0,0
Tm2d2,0.182728935556606,0.370127183144695,0.035,0.027,1.0,0
Kdm8,0.182775736511425,0.711635647001573,0.024,0.015,1.0,0
Ttc9,0.183005091240804,0.456685002697399,0.059,0.043,1.0,0
Rad51c,0.183468192609289,0.967162516166425,0.021,0.011,1.0,0
