,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Map2k2,9.32138925037169e-07,0.129863369828856,0.047,0.048,0.0242113764389154,0
Upp2,9.50591878396936e-07,-0.193481830902738,0.069,0.082,0.024690673449482,0
Peg3,9.52372871117891e-07,0.273656070275142,0.048,0.039,0.0247369329544161,0
Sec22b,9.56381567469269e-07,-0.255339811404833,0.025,0.032,0.0248410548334468,0
Kif16b,9.58567077942784e-07,-0.141596172008351,0.141,0.158,0.0248978212824859,0
Cdc40,9.60668259879642e-07,-0.247635596418174,0.048,0.059,0.0249523973821138,0
Tulp3,9.77219114915844e-07,-0.154038458438524,0.042,0.05,0.0253822892908241,0
Trim7,9.81684790285036e-07,-0.402444398363327,0.028,0.038,0.0254982807428635,0
Btbd1,1.00586290461991e-06,-0.197645849024851,0.061,0.073,0.0261262830845976,0
Lmf1,1.01151940398101e-06,0.37300990177855,0.042,0.033,0.0262732049990027,0
Cox7a2l,1.0388685551898e-06,0.499161699318981,0.022,0.016,0.0269835718524998,0
Slc6a8,1.05826116840173e-06,0.346756984838737,0.041,0.033,0.0274872755880665,0
Hira,1.05880943998351e-06,-0.217726917577352,0.055,0.067,0.0275015163941318,0
Cttnbp2nl,1.08783759912437e-06,-0.148271606910109,0.077,0.089,0.0282554937996563,0
Hmg20a,1.09460018480321e-06,-0.158244557774297,0.122,0.139,0.0284311452000787,0
Ggact,1.10249681887924e-06,-0.573590765940898,0.012,0.018,0.0286362523735693,0
Tbcel,1.10323357470485e-06,-0.128425819435771,0.063,0.072,0.0286553888693838,0
Crebl2,1.11636371294246e-06,-0.289507247036338,0.031,0.04,0.0289964310799675,0
Higd1a,1.11923335508017e-06,0.483662293069384,0.022,0.015,0.0290709671648524,0
Wbp1,1.13222484569505e-06,0.444131234409562,0.025,0.019,0.0294084081420833,0
Ubxn6,1.13697594736044e-06,0.57122492809968,0.015,0.01,0.02953181325674,0
Osbpl2,1.15692444076131e-06,-0.155149829491737,0.037,0.044,0.0300499554243344,0
Mpp7,1.16150661807795e-06,-0.322558571877488,0.034,0.043,0.0301689728979566,0
Gm26782,1.17263803346551e-06,-0.509246526666467,0.017,0.024,0.0304581002812332,0
Tfrc,1.17319387715381e-06,0.560708018610362,0.02,0.014,0.0304725377651931,0
Pcdhgb4,1.18967644878262e-06,-0.825129532936862,0.005,0.01,0.0309006560806797,0
