,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Kctd6,0.638365323719445,-0.274601183725594,0.011,0.013,1.0,0
Pnpla7,0.638517626532156,-0.169942945444445,0.028,0.031,1.0,0
Zfp113,0.639048663615937,-0.246172775399078,0.019,0.022,1.0,0
Sspn,0.639375814406347,0.213534930702633,0.016,0.014,1.0,0
E2f6,0.639984645071629,0.26413599193947,0.021,0.017,1.0,0
Aamdc,0.640864718255393,-0.125448328364459,0.05,0.055,1.0,0
Tbc1d24,0.64087839724215,0.18294661086921,0.057,0.052,1.0,0
Unc13a,0.64097757443012,-0.155577994548847,0.022,0.024,1.0,0
Lrtm2,0.641597285109722,-0.241792289601928,0.013,0.015,1.0,0
Pik3r3,0.641607000997641,0.119567268211255,0.112,0.106,1.0,0
Klc2,0.641638138287654,0.124529924643889,0.017,0.016,1.0,0
Trim39,0.641868554117907,-0.110114757516578,0.014,0.014,1.0,0
Htatsf1,0.643176553775518,0.269169629675452,0.03,0.025,1.0,0
Smim12,0.644609513268282,-0.343946833596416,0.011,0.014,1.0,0
Rasgef1a,0.644673325827053,0.261648781002959,0.016,0.013,1.0,0
Med28,0.645239854001176,0.300686879797715,0.017,0.014,1.0,0
Chrm1,0.645288110563626,0.446458019531251,0.016,0.012,1.0,0
Clstn3,0.645460132880048,0.170092502024332,0.029,0.025,1.0,0
Slbp,0.646152235750746,-0.142256616051013,0.018,0.021,1.0,0
Gm12258,0.646521068688094,0.158637778964152,0.022,0.02,1.0,0
Poldip3,0.646521599217424,-0.147274690817638,0.032,0.035,1.0,0
Gm19461,0.646612540220162,-0.102240937203134,0.009,0.01,1.0,0
Slc39a10,0.647671071062625,0.213840618814994,0.06,0.053,1.0,0
Telo2,0.648221490832401,0.100484450677238,0.024,0.022,1.0,0
Man2c1,0.648222267183786,0.103219418398476,0.011,0.011,1.0,0
Mob3b,0.648351779419902,-0.201045947258619,0.014,0.016,1.0,0
Pex26,0.649033451375644,0.250060806727747,0.01,0.008,1.0,0
Atrip,0.649404890257886,0.10153828201766,0.017,0.016,1.0,0
March11,0.649519567068157,-0.145077135113391,0.019,0.022,1.0,0
Ppcdc,0.649549189130585,-0.205240562764824,0.025,0.029,1.0,0
Scand1,0.649993541886306,-0.113446391911014,0.033,0.037,1.0,0
6230400D17Rik,0.650303226097254,-0.110114757516578,0.013,0.014,1.0,0
Nckap5l,0.650352312433073,0.279404768309892,0.03,0.025,1.0,0
Gng11,0.65058397711685,0.304508590750124,0.017,0.013,1.0,0
Ddx19a,0.650620225587125,-0.139213596486015,0.022,0.025,1.0,0
Idnk,0.650663541331253,-0.296221225829349,0.013,0.016,1.0,0
Pi4kb,0.650924750932977,-0.112170333376443,0.068,0.07,1.0,0
Pawr,0.651002807809983,0.250060806727747,0.019,0.016,1.0,0
Sugp2,0.652132315855674,0.121247340654587,0.063,0.059,1.0,0
Slc9a5,0.652233601543065,0.154483146745516,0.014,0.013,1.0,0
Dnajc25,0.652352151851694,0.250060806727747,0.016,0.014,1.0,0
Ifngr1,0.652453996473664,0.285684716458468,0.017,0.014,1.0,0
Slc27a4,0.653462036443746,0.250060806727747,0.018,0.015,1.0,0
Csk,0.653955909603118,-0.180573547602116,0.019,0.021,1.0,0
Gm12905,0.654465243207033,-0.167665780078736,0.041,0.045,1.0,0
Phrf1,0.654852412774481,0.272154577578364,0.048,0.041,1.0,0
Zfp35,0.655066246381892,-0.264512366102011,0.009,0.01,1.0,0
Sirt3,0.655558541938456,0.340663355508654,0.023,0.018,1.0,0
Mast1,0.655932348029078,0.203139759340255,0.033,0.028,1.0,0
Gid8,0.65628756572127,0.21529538856707,0.016,0.014,1.0,0
