cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
L6_CT_CTX_Glut,Kcnj9,-1,-1,0.5329145,0.23026751,0.23681797
L6_CT_CTX_Glut,Cul9,-1,-1,0.21596375,0.34046224,0.443574
L6_CT_CTX_Glut,Rufy2,-1,-1,0.27121928,0.39269966,0.33608103
L6_CT_CTX_Glut,Slc20a1,-1,-1,0.32058284,0.36301756,0.3163997
L6_CT_CTX_Glut,Slc6a6,-1,-1,0.20159276,0.30082387,0.49758333
L6_CT_CTX_Glut,Thy1,-1,-1,0.29852387,0.29595435,0.4055218
L6_CT_CTX_Glut,Eif4b,-1,-1,0.45835632,0.31834164,0.22330207
L6_CT_CTX_Glut,Ncs1,-1,-1,0.39581066,0.24884419,0.3553451
L6_CT_CTX_Glut,Zdhhc8,-1,-1,0.2631727,0.37324062,0.36358675
L6_CT_CTX_Glut,Stxbp1,-1,-1,0.6681522,0.13408732,0.19776045
L6_CT_CTX_Glut,Atp2b2,-1,-1,0.6030308,0.08134789,0.31562132
L6_CT_CTX_Glut,Eml2,-1,-1,0.2607724,0.3611646,0.37806305
L6_CT_CTX_Glut,Rap1gap,-1,-1,0.65845877,0.12820844,0.21333283
L6_CT_CTX_Glut,Tet3,-1,-1,0.5423082,0.13655367,0.3211381
L6_CT_CTX_Glut,Svop,-1,-1,0.21471232,0.34502503,0.44026262
L6_CT_CTX_Glut,Vangl2,-1,0,0.25870356,0.2375537,0.50374275
L6_CT_CTX_Glut,Zyx,-1,-1,0.6322882,0.20715958,0.16055222
